30	Chapter XXX - Good and bad sensory perceptions	https://www.wisdomlib.org/hinduism/book/sushruta-samhita-volume-1-sutrasthana/d/doc122929.html	/tmp/sushruta/chapters/sutra/ch30.txt
31	Chapter XXXI - Good And Bad Colour Etc. Fatal Signs	https://www.wisdomlib.org/hinduism/book/sushruta-samhita-volume-1-sutrasthana/d/doc122930.html	/tmp/sushruta/chapters/sutra/ch31.txt
32	Chapter XXXII - Good and bad nature of body parts fatal signs	https://www.wisdomlib.org/hinduism/book/sushruta-samhita-volume-1-sutrasthana/d/doc122931.html	/tmp/sushruta/chapters/sutra/ch32.txt
33	Chapter XXXIII - Fatal Signs of Diseases	https://www.wisdomlib.org/hinduism/book/sushruta-samhita-volume-1-sutrasthana/d/doc122933.html	/tmp/sushruta/chapters/sutra/ch33.txt
34	Chapter XXXIV - Duties of army surgeon	https://www.wisdomlib.org/hinduism/book/sushruta-samhita-volume-1-sutrasthana/d/doc122934.html	/tmp/sushruta/chapters/sutra/ch34.txt
35	Chapter XXXV - Examination of the patient	https://www.wisdomlib.org/hinduism/book/sushruta-samhita-volume-1-sutrasthana/d/doc122935.html	/tmp/sushruta/chapters/sutra/ch35.txt
36	Chapter XXXVI - Drugs of specific actions	https://www.wisdomlib.org/hinduism/book/sushruta-samhita-volume-1-sutrasthana/d/doc122936.html	/tmp/sushruta/chapters/sutra/ch36.txt
37	Chapter XXXVII - Kinds of land regions	https://www.wisdomlib.org/hinduism/book/sushruta-samhita-volume-1-sutrasthana/d/doc122937.html	/tmp/sushruta/chapters/sutra/ch37.txt
38	Chapter XXXVIII - Groups of drugs	https://www.wisdomlib.org/hinduism/book/sushruta-samhita-volume-1-sutrasthana/d/doc122938.html	/tmp/sushruta/chapters/sutra/ch38.txt
39	Chapter XXXIX - Purificatory and Palliative Drugs	https://www.wisdomlib.org/hinduism/book/sushruta-samhita-volume-1-sutrasthana/d/doc141669.html	/tmp/sushruta/chapters/sutra/ch39.txt
40	Chapter XL - Knowledge of taste etc of drugs	https://www.wisdomlib.org/hinduism/book/sushruta-samhita-volume-1-sutrasthana/d/doc141670.html	/tmp/sushruta/chapters/sutra/ch40.txt
41	Chapter XLI - Knowledge of categories of drugs	https://www.wisdomlib.org/hinduism/book/sushruta-samhita-volume-1-sutrasthana/d/doc141671.html	/tmp/sushruta/chapters/sutra/ch41.txt
42	Chapter XLII - Knowledge of tastes of drugs	https://www.wisdomlib.org/hinduism/book/sushruta-samhita-volume-1-sutrasthana/d/doc141672.html	/tmp/sushruta/chapters/sutra/ch42.txt
43	Chapter XLIII - Recipes of emetic drugs	https://www.wisdomlib.org/hinduism/book/sushruta-samhita-volume-1-sutrasthana/d/doc141673.html	/tmp/sushruta/chapters/sutra/ch43.txt
44	Chapter XLIV - Recipes of purgative drugs	https://www.wisdomlib.org/hinduism/book/sushruta-samhita-volume-1-sutrasthana/d/doc141674.html	/tmp/sushruta/chapters/sutra/ch44.txt
45	Chapter XLV - Knowledge of liquid substances	https://www.wisdomlib.org/hinduism/book/sushruta-samhita-volume-1-sutrasthana/d/doc141676.html	/tmp/sushruta/chapters/sutra/ch45.txt
46	Chapter XLVI - Diet articles and regimen of diet	https://www.wisdomlib.org/hinduism/book/sushruta-samhita-volume-1-sutrasthana/d/doc141678.html	/tmp/sushruta/chapters/sutra/ch46.txt
